<<<<<<< HEAD
Feature no.,Domain,Industry,Sub-domain,Description,Priority,Mandatory,Open-source providers,Comm. providers
41,Industry-Specific AI Applications,Energy & Utilities,Grid load forecasting,"Deploy an AI capability for grid load forecasting in energy & utilities workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P0,Yes,"Great Expectations, dbt, Prometheus, Argo Workflows, LangChain","Google Cloud, Oracle, Twilio, SAP, Anthropic"
42,Industry-Specific AI Applications,Energy & Utilities,Outage prediction & restoration,"Deploy an AI capability for outage prediction & restoration in energy & utilities workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Qdrant, Airflow, KServe, Argo Workflows, Seldon","AWS, SAP, UiPath, Elastic, Pinecone"
43,Industry-Specific AI Applications,Energy & Utilities,Asset health monitoring,"Deploy an AI capability for asset health monitoring in energy & utilities workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Qdrant, Haystack, KServe, Airflow, scikit-learn","Twilio, Pinecone, Cloudflare, OpenAI, Databricks"
44,Industry-Specific AI Applications,Energy & Utilities,Renewable generation forecasting,"Deploy an AI capability for renewable generation forecasting in energy & utilities workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Argo Workflows, OpenCV, Hugging Face Transformers, Rasa, Ray","Salesforce, IBM watsonx, Cloudflare, AWS, ServiceNow"
45,Industry-Specific AI Applications,Energy & Utilities,Energy trading analytics,"Deploy an AI capability for energy trading analytics in energy & utilities workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"TensorFlow, Qdrant, Haystack, Ray, FAISS","Zendesk, IBM watsonx, DataRobot, AWS, Databricks"
46,Industry-Specific AI Applications,Energy & Utilities,Customer billing anomaly detection,"Deploy an AI capability for customer billing anomaly detection in energy & utilities workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"FAISS, dbt, TensorFlow, Kubeflow, Ray","Salesforce, Confluent, Anthropic, DataRobot, Scale AI"
47,Industry-Specific AI Applications,Energy & Utilities,Field crew optimization,"Deploy an AI capability for field crew optimization in energy & utilities workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"ONNX, Argo Workflows, Milvus, Kafka, Prometheus","Google Cloud, Zendesk, Snowflake, Palantir, Scale AI"
48,Industry-Specific AI Applications,Energy & Utilities,Leak detection (oil/gas),"Deploy an AI capability for leak detection (oil/gas) in energy & utilities workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Feast, Grafana, Ray, KServe, Kubeflow","Scale AI, UiPath, IBM watsonx, NVIDIA, Confluent"
49,Industry-Specific AI Applications,Energy & Utilities,Plant process control AI,"Deploy an AI capability for plant process control ai in energy & utilities workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"ONNX, Great Expectations, Argo Workflows, PostgreSQL, Airflow","NVIDIA, Anthropic, UiPath, Scale AI, IBM watsonx"
50,Industry-Specific AI Applications,Energy & Utilities,Safety & compliance monitoring,"Deploy an AI capability for safety & compliance monitoring in energy & utilities workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Airflow, FAISS, Ray, scikit-learn, Weaviate","AWS, MongoDB Atlas, SAP, UiPath, Microsoft Azure"
51,Industry-Specific AI Applications,Telecom,Network optimization,"Deploy an AI capability for network optimization in telecom workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P0,Yes,"Weaviate, Seldon, OpenCV, Ray, dbt","Elastic, OpenAI, DataRobot, Google Cloud, Cloudflare"
52,Industry-Specific AI Applications,Telecom,Churn prediction & retention,"Deploy an AI capability for churn prediction & retention in telecom workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Hugging Face Transformers, Seldon, Ray, Qdrant, FAISS","SAP, IBM watsonx, Snowflake, DataRobot, Anthropic"
53,Industry-Specific AI Applications,Telecom,Fraud & SIM-swap detection,"Deploy an AI capability for fraud & sim-swap detection in telecom workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"FAISS, Argo Workflows, Feast, Seldon, Milvus","Scale AI, Salesforce, OpenAI, Databricks, Oracle"
54,Industry-Specific AI Applications,Telecom,Customer support automation,"Deploy an AI capability for customer support automation in telecom workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Seldon, LlamaIndex, MLflow, Prometheus, Trino","AWS, Microsoft Azure, Databricks, Anthropic, Snowflake"
55,Industry-Specific AI Applications,Telecom,Capacity planning,"Deploy an AI capability for capacity planning in telecom workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"OpenTelemetry, Rasa, Haystack, Grafana, spaCy","Snowflake, MongoDB Atlas, DataRobot, OpenAI, Twilio"
56,Industry-Specific AI Applications,Telecom,5G slicing analytics,"Deploy an AI capability for 5g slicing analytics in telecom workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Great Expectations, Weaviate, PostgreSQL, LlamaIndex, Prometheus","Databricks, Cloudflare, Scale AI, Oracle, AWS"
57,Industry-Specific AI Applications,Telecom,IoT fleet analytics,"Deploy an AI capability for iot fleet analytics in telecom workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"KServe, FAISS, Feast, Weaviate, PostgreSQL","Cohere, UiPath, Databricks, Pinecone, Scale AI"
58,Industry-Specific AI Applications,Telecom,Revenue assurance,"Deploy an AI capability for revenue assurance in telecom workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Great Expectations, Ray, PostgreSQL, Kafka, MLflow","Snowflake, Twilio, Pinecone, ServiceNow, Cohere"
59,Industry-Specific AI Applications,Telecom,Field service optimization,"Deploy an AI capability for field service optimization in telecom workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"PostgreSQL, Haystack, Argo Workflows, Seldon, Airflow","Databricks, Zendesk, OpenAI, Anthropic, Snowflake"
